influencer_id,followers,likes,comments,shares,saves,profile_visits,link_clicks,purchase,engagement_score,ctr,conversion_rate
23,302921,12217,266,200,659,1555,486,1,3243.6000000000004,0.312540192926045,0.00205761316872428
42,155262,8319,168,184,193,840,242,1,2031.0000000000002,0.28809523809523807,0.004132231404958678
8,273799,14167,170,392,298,3056,707,1,3431.2000000000003,0.231348167539267,0.0014144271570014145
51,98848,3203,157,85,174,480,53,0,917.8000000000001,0.11041666666666666,0.0
60,490988,30332,1237,434,1362,3550,410,1,8078.300000000001,0.11549295774647887,0.0024390243902439024
47,216810,15392,600,454,625,2533,857,1,4196.2,0.33833399131464664,0.0011668611435239206
92,108481,2850,31,83,152,681,151,0,765.2,0.22173274596182085,0.0
1,397942,15925,509,386,739,2484,959,1,4300.9,0.3860708534621578,0.0010427528675703858
63,21964,1514,40,22,51,380,39,0,379.0,0.10263157894736842,0.0
69,180150,4189,185,100,163,500,123,0,1130.7,0.246,0.0
33,323717,17709,459,395,804,1931,410,1,4691.0,0.21232522009321594,0.0024390243902439024
58,276967,24516,891,325,559,5601,604,1,6023.4,0.10783788609176932,0.0016556291390728477
91,202459,13369,341,305,512,2795,1068,1,3467.4,0.3821109123434705,0.0009363295880149813
33,336593,12297,257,175,431,1325,378,1,3055.2000000000003,0.2852830188679245,0.0026455026455026454
90,30351,1542,57,25,46,307,94,0,391.20000000000005,0.30618892508143325,0.0
75,136484,3157,84,92,132,583,157,0,843.4000000000001,0.2692967409948542,0.0
99,90999,2749,54,59,150,583,100,0,738.1,0.17152658662092624,0.0
23,117856,4603,115,95,183,818,154,0,1191.0,0.1882640586797066,0.0
12,200004,18486,252,302,1072,5363,1458,1,4892.200000000001,0.27186276337870596,0.0006858710562414266
69,107795,4990,184,124,257,1287,163,0,1382.4,0.12665112665112666,0.0
39,355605,22745,629,631,774,2807,401,1,5924.4,0.14285714285714285,0.0024937655860349127
17,213124,18558,501,268,665,5166,743,1,4681.700000000001,0.1438250096786682,0.0013458950201884253
38,294106,19559,870,539,576,5506,1528,1,5184.900000000001,0.2775154377043226,0.0006544502617801048
31,432794,35563,1149,657,2000,4347,1077,1,9747.0,0.24775707384403037,0.0009285051067780873
92,270853,6637,97,81,305,1653,454,0,1676.6000000000001,0.27465214761040535,0.0
63,235907,10110,452,146,591,1035,404,1,2823.0,0.3903381642512077,0.0024752475247524753
21,287703,17899,889,205,754,5259,1351,1,4771.0,0.25689294542688723,0.0007401924500370096
14,264214,14891,522,322,834,1624,299,0,4131.8,0.18411330049261085,0.0
72,488685,27587,960,428,759,5317,1095,1,6904.200000000001,0.2059432010532255,0.0009132420091324201
92,132016,5385,151,57,167,981,275,1,1326.0,0.2803261977573904,0.0036363636363636364
13,170421,4447,211,81,192,1262,157,1,1205.2000000000003,0.12440570522979398,0.006369426751592357
5,6015,301,12,8,7,65,13,0,77.39999999999999,0.2,0.0
27,484920,42220,1213,772,1306,4698,1688,1,10635.699999999999,0.35930183056619835,0.0005924170616113745
95,145932,14553,468,369,841,3928,684,1,4075.7000000000007,0.17413441955193482,0.0014619883040935672
1,312250,13107,239,361,659,1433,258,1,3520.8,0.18004187020237264,0.003875968992248062
34,66877,5469,168,147,230,1160,421,1,1464.7,0.3629310344827586,0.0023752969121140144
47,20254,1628,56,39,46,207,21,0,417.70000000000005,0.10144927536231885,0.0
98,209625,10770,296,302,365,2184,731,1,2805.4,0.3347069597069597,0.0013679890560875513
51,48088,4614,73,131,183,699,166,1,1197.4,0.2374821173104435,0.006024096385542169
53,10569,489,17,7,11,61,8,0,120.00000000000001,0.13114754098360656,0.0
16,29071,1000,37,18,54,203,79,0,274.3,0.3891625615763547,0.0
51,422170,36198,861,613,770,7592,1976,1,8715.2,0.2602739726027397,0.0005060728744939271
46,56745,1719,39,28,40,337,103,0,414.90000000000003,0.3056379821958457,0.0
63,385975,9605,202,250,479,1314,213,1,2580.2,0.16210045662100456,0.004694835680751174
86,144789,10057,248,193,501,1079,189,0,2671.3,0.17516218721038,0.0
23,351861,28138,315,769,961,5048,663,1,7092.200000000001,0.1313391442155309,0.0015082956259426848
28,226897,14774,644,174,611,2166,439,1,3887.4000000000005,0.20267774699907665,0.002277904328018223
10,472010,33940,990,735,1679,7179,1981,1,9140.7,0.2759437247527511,0.0005047955577990914
42,367920,17290,795,382,514,3451,687,0,4534.099999999999,0.19907273254129237,0.0
53,425501,16180,398,319,874,1902,650,1,4357.5,0.34174553101997895,0.0015384615384615385
9,149118,3598,38,86,215,1005,274,0,970.8000000000001,0.272636815920398,0.0
79,243213,23836,706,582,1259,5808,1513,1,6534.799999999999,0.26050275482093666,0.0006609385327164573
45,364723,13278,646,321,371,3282,849,1,3500.1000000000004,0.2586837294332724,0.001177856301531213
14,246983,6664,201,190,218,1457,307,1,1740.7000000000003,0.21070693205216198,0.003257328990228013
5,92958,5941,107,140,139,759,76,0,1450.9,0.10013175230566534,0.0
15,84767,5805,242,70,313,1446,321,0,1581.4,0.22199170124481327,0.0
75,469008,17071,429,487,834,1871,625,1,4636.8,0.3340459647247461,0.0016
14,428739,14188,235,373,661,2903,602,1,3745.0000000000005,0.20737168446434723,0.0016611295681063123
89,310447,17433,672,488,783,3625,839,1,4790.6,0.23144827586206895,0.0011918951132300357
17,170088,8728,272,98,254,1820,417,1,2153.4,0.2291208791208791,0.002398081534772182
51,291663,22019,367,607,876,5467,1486,0,5713.0,0.2718126943479056,0.0
57,333800,25555,1051,328,720,6205,1540,1,6442.1,0.24818694601128122,0.0006493506493506494
38,453396,13080,573,164,469,3393,491,1,3392.5,0.14470969643383436,0.002036659877800407
76,139828,10851,386,259,452,1631,332,1,2906.1000000000004,0.2035561005518087,0.0030120481927710845
74,81325,3105,83,48,138,876,124,0,806.5,0.1415525114155251,0.0
97,193014,15072,508,181,855,3888,415,1,4079.1,0.10673868312757202,0.0024096385542168677
92,201382,13802,372,341,791,3935,925,1,3817.9,0.23506988564167725,0.001081081081081081
21,499937,43550,652,1237,2386,8874,2461,1,11810.7,0.27732702276312826,0.0004063388866314506
73,473276,22156,933,223,738,3979,1039,0,5644.2,0.261120884644383,0.0
2,13070,624,24,11,18,118,16,0,158.9,0.13559322033898305,0.0
71,469051,25100,1169,432,1084,5683,590,1,6774.099999999999,0.10381840577159951,0.001694915254237288
71,337624,32710,521,598,765,9792,2454,1,7833.1,0.2506127450980392,0.00040749796251018743
13,440165,35211,647,984,993,4863,539,1,8848.900000000001,0.11083693193501953,0.0018552875695732839
40,225178,5687,233,108,233,1070,235,1,1515.9,0.21962616822429906,0.00425531914893617
63,332299,11482,510,332,401,1769,518,1,3104.6000000000004,0.2928208027133974,0.0019305019305019305
87,218046,7084,273,164,149,1022,173,1,1787.3000000000002,0.16927592954990214,0.005780346820809248
72,454589,21430,702,594,905,5232,1787,0,5776.8,0.3415519877675841,0.0
32,458751,38786,1881,1120,994,7031,1386,1,10276.900000000001,0.1971270089603186,0.0007215007215007215
74,259726,20485,899,255,1127,4682,1456,0,5626.6,0.3109782144382742,0.0
69,92955,4356,187,75,93,1159,235,0,1091.6000000000001,0.20276100086281276,0.0
9,397417,35324,663,1041,1808,4339,1170,0,9571.4,0.2696473841899055,0.0
87,222215,7681,225,155,381,1841,406,1,2062.0,0.22053231939163498,0.0024630541871921183
22,397426,21356,326,598,1017,5053,1752,1,5666.400000000001,0.34672471798931326,0.0005707762557077625
42,436459,26120,331,472,1042,6374,841,1,6553.5,0.13194226545340446,0.0011890606420927466
27,86182,7748,262,170,361,1046,391,1,2088.4,0.3738049713193117,0.0025575447570332483
92,165445,10177,120,135,503,1186,333,1,2592.3,0.28077571669477236,0.003003003003003003
21,189074,8148,197,198,259,1737,421,1,2073.9,0.24237190558434082,0.0023752969121140144
22,125900,7390,153,153,195,1982,701,0,1817.6,0.35368314833501513,0.0
98,183376,14976,213,172,735,2981,913,1,3810.1000000000004,0.3062730627306273,0.001095290251916758
39,29354,2510,105,59,77,547,113,0,657.4,0.20658135283363802,0.0
49,433988,36108,1358,737,847,10530,3448,1,9094.1,0.3274453941120608,0.0002900232018561485
81,399966,31168,1106,922,1749,7147,2200,1,8831.2,0.3078214635511403,0.00045454545454545455
26,426151,32577,1531,443,1391,9222,1016,1,8703.800000000001,0.1101713294296248,0.000984251968503937
9,409338,38457,1878,1110,1498,10476,3701,1,10605.800000000001,0.3532836960672012,0.0002701972439881113
17,94613,6405,122,79,147,1532,309,0,1514.8999999999999,0.20169712793733682,0.0
39,455062,38369,1210,891,1899,7828,1785,1,10421.7,0.22802759325498212,0.0005602240896358543
66,472254,26897,1334,269,737,4755,1805,1,6824.300000000001,0.37960042060988436,0.000554016620498615
46,21371,517,7,5,20,111,20,0,126.4,0.18018018018018017,0.0
30,186144,8731,269,215,175,1689,319,0,2171.2,0.18886915334517465,0.0
18,379717,25489,537,718,555,3106,675,1,6312.900000000001,0.21732131358660656,0.0014814814814814814
59,48001,4024,81,87,238,1114,312,0,1096.6000000000001,0.2800718132854578,0.0
98,184352,14650,184,264,783,2140,747,1,3833.2000000000003,0.3490654205607477,0.0013386880856760374
98,251584,9469,165,242,321,1056,412,1,2402.5000000000005,0.39015151515151514,0.0024271844660194173
99,460699,45882,777,822,2309,10975,1604,1,11987.5,0.1461503416856492,0.0006234413965087282
13,274431,21907,249,611,1191,4194,911,1,5886.400000000001,0.21721506914639963,0.0010976948408342481
29,332304,7825,344,83,259,2240,718,1,2002.3,0.3205357142857143,0.001392757660167131
79,336813,13735,534,273,319,1978,603,1,3460.2999999999997,0.30485338725985844,0.001658374792703151
81,130991,11872,363,333,508,2759,725,1,3195.4,0.26277636824936573,0.001379310344827586
33,391309,24144,1079,359,634,3188,638,1,6126.8,0.2001254705144291,0.001567398119122257
53,378929,10786,409,148,596,3152,755,1,2942.1000000000004,0.23953045685279187,0.0013245033112582781
42,373009,31927,611,899,639,6744,2205,1,7831.400000000001,0.32695729537366547,0.00045351473922902497
66,223335,5969,137,126,147,1046,107,1,1468.1,0.1022944550669216,0.009345794392523364
70,81242,6571,207,192,221,1488,564,1,1728.8999999999999,0.3790322580645161,0.0017730496453900709
68,208667,15656,199,250,756,1776,487,1,4010.5000000000005,0.2742117117117117,0.002053388090349076
90,475135,11241,504,331,660,2809,390,1,3259.9,0.13883944464222142,0.002564102564102564
7,324516,7064,162,139,358,1671,390,1,1877.5000000000002,0.2333931777378815,0.002564102564102564
29,390539,21126,592,280,1094,5043,838,1,5592.4,0.16617093000198294,0.0011933174224343676
78,319451,23115,483,670,601,4310,1651,1,5814.3,0.3830626450116009,0.0006056935190793458
59,189403,9812,205,291,356,2735,462,1,2553.4,0.16892138939670934,0.0021645021645021645
64,352120,25399,628,693,988,7458,1160,1,6669.300000000001,0.15553767766157148,0.0008620689655172414
53,406927,33235,1455,838,1497,4195,460,0,9158.7,0.10965435041716329,0.0
3,151323,12669,370,156,316,3003,687,1,3080.8,0.22877122877122877,0.001455604075691412
60,134749,8968,186,232,290,1713,177,0,2281.0,0.10332749562171628,0.0
64,165081,9639,327,152,460,2622,875,1,2565.7000000000003,0.3337147215865751,0.001142857142857143
86,74298,2109,41,62,54,421,120,0,528.9,0.2850356294536817,0.0
74,210735,4379,100,89,102,744,81,0,1069.7,0.10887096774193548,0.0
22,319470,9781,319,232,508,1369,205,1,2684.5,0.14974433893352812,0.004878048780487805
75,324804,24853,279,713,548,5175,1618,1,6047.6,0.31265700483091785,0.0006180469715698393
50,264931,22290,525,586,517,6218,1643,1,5544.3,0.2642328723062078,0.0006086427267194157
26,300806,21503,667,529,500,2409,419,1,5404.400000000001,0.17393109173931093,0.002386634844868735
45,88186,3310,162,55,90,853,253,1,853.5,0.2966002344665885,0.003952569169960474
82,473933,36746,703,1099,2167,8453,1351,1,10203.6,0.15982491423163375,0.0007401924500370096
93,283453,6364,129,122,348,1561,503,1,1701.1000000000004,0.3222293401665599,0.0019880715705765406
4,293107,23864,720,497,967,5193,565,1,6254.3,0.1088003081070672,0.0017699115044247787
66,294102,27073,727,420,1182,7647,1247,1,7017.700000000001,0.16307048515757813,0.0008019246190858059
40,265116,20851,318,507,1175,2834,485,0,5624.099999999999,0.171136203246295,0.0
37,69324,1769,48,21,64,386,105,0,443.7,0.27202072538860106,0.0
70,106520,5463,266,82,252,901,299,1,1484.6000000000004,0.3318534961154273,0.0033444816053511705
45,388894,21895,425,251,586,4465,897,1,5236.0,0.20089585666293394,0.0011148272017837235
1,404492,16138,559,389,430,2154,239,0,4123.400000000001,0.11095636025998143,0.0
76,97324,8033,306,152,438,1700,445,1,2216.4,0.26176470588235295,0.0022471910112359553
78,348681,10403,200,114,474,1507,232,1,2639.6000000000004,0.15394824153948242,0.004310344827586207
33,145272,9700,364,174,380,2300,241,1,2547.8,0.10478260869565217,0.004149377593360996
29,151470,8539,261,168,398,1092,119,0,2274.3,0.10897435897435898,0.0
80,6969,251,9,7,5,58,13,0,63.6,0.22413793103448276,0.0
86,251958,19000,826,548,899,3789,1081,1,5315.8,0.2852995513328055,0.0009250693802035153
76,317282,29975,1126,705,858,6947,1515,1,7737.9,0.2180797466532316,0.0006600660066006601
90,275269,19992,999,219,1181,3626,1309,1,5596.0,0.361003861003861,0.0007639419404125286
77,483366,38222,1725,691,1264,8925,3055,1,10001.800000000003,0.342296918767507,0.0003273322422258593
23,161498,14456,361,230,664,2395,692,1,3763.9000000000005,0.2889352818371608,0.001445086705202312
15,145180,7321,233,160,306,1382,144,1,1937.5,0.10419681620839363,0.006944444444444444
72,458449,37018,1111,771,2149,9973,3732,1,10218.000000000002,0.37421036799358265,0.0002679528403001072
25,299923,9573,297,142,373,1712,453,1,2460.9000000000005,0.26460280373831774,0.002207505518763797
43,194420,16679,454,465,381,4852,1438,1,4193.1,0.29637262984336354,0.0006954102920723226
68,476828,27815,494,370,1243,5691,1713,0,7063.4,0.3010015814443859,0.0
28,429226,28532,387,694,1027,8426,2923,1,7207.300000000001,0.346902444813672,0.00034211426616489907
7,381158,33829,1420,463,1076,8750,1361,0,8660.7,0.15554285714285715,0.0
84,112971,3046,129,53,125,373,37,0,810.8000000000001,0.09919571045576407,0.0
21,224861,15174,633,347,409,2612,971,1,3921.4000000000005,0.3717457886676876,0.0010298661174047373
49,237601,9611,212,236,519,2251,771,1,2608.6000000000004,0.34251443802754333,0.0012970168612191958
74,466792,25167,405,370,1378,4896,1275,1,6597.300000000001,0.2604166666666667,0.000784313725490196
37,21014,807,14,18,24,182,21,0,200.2,0.11538461538461539,0.0
64,379562,25720,952,484,973,6298,659,1,6737.200000000001,0.10463639250555731,0.0015174506828528073
46,459162,31341,736,881,1595,4794,1407,1,8528.900000000001,0.2934918648310388,0.0007107320540156361
73,36367,1794,42,40,67,477,143,0,461.40000000000003,0.29979035639413,0.0
32,412700,17206,580,406,502,3292,517,1,4417.0,0.15704738760631834,0.0019342359767891683
44,417417,20468,1019,387,682,4423,560,0,5419.6,0.1266108975808275,0.0
93,277670,22321,375,406,823,5900,592,1,5594.299999999999,0.10033898305084746,0.0016891891891891893
8,175963,10204,258,126,601,1061,340,1,2738.8,0.32045240339302544,0.0029411764705882353
65,496128,36576,501,553,1884,9982,2820,1,9460.000000000002,0.28250851532758964,0.0003546099290780142
98,123413,3629,69,61,127,614,105,0,904.6000000000001,0.17100977198697068,0.0
67,43067,1825,87,50,48,469,127,0,481.9,0.27078891257995735,0.0
12,233590,12093,382,272,568,2497,790,1,3254.4,0.31637965558670406,0.0012658227848101266
7,493371,42182,966,441,1103,6104,2363,1,10110.5,0.3871231979030144,0.00042319085907744394
10,403872,26660,777,433,1179,3408,1259,1,6966.8,0.369424882629108,0.0007942811755361397
52,16138,1552,66,36,38,303,76,0,399.0,0.2508250825082508,0.0
45,396099,32534,484,712,1869,8954,1641,1,8742.4,0.18327004690641055,0.0006093845216331506
32,416484,8919,304,154,316,1898,299,1,2296.4,0.15753424657534246,0.0033444816053511705
11,448057,11032,417,327,326,1417,193,1,2904.6000000000004,0.13620324629498942,0.0051813471502590676
7,102359,7710,267,174,224,1129,187,0,1976.5,0.16563330380868024,0.0
36,279555,24556,957,634,888,5667,1168,1,6543.9,0.2061055232045174,0.0008561643835616438
86,104853,3580,91,104,107,453,102,1,919.9,0.2251655629139073,0.00980392156862745
21,159249,11860,208,265,390,3164,913,1,2973.5,0.288558786346397,0.001095290251916758
45,136743,8071,116,169,308,2170,280,1,2036.9,0.12903225806451613,0.0035714285714285713
68,161193,7410,292,144,259,1325,315,0,1936.0,0.23773584905660378,0.0
13,384504,37076,1537,604,1762,6952,1226,1,10016.1,0.17635212888377447,0.0008156606851549756
58,33671,3102,88,70,143,865,251,0,827.8000000000001,0.2901734104046243,0.0
60,254686,15656,250,387,633,3695,415,1,4033.5000000000005,0.11231393775372124,0.0024096385542168677
43,434440,11194,143,114,652,2770,570,1,2911.7000000000003,0.20577617328519857,0.0017543859649122807
11,206139,16897,615,231,455,2022,602,1,4212.6,0.29772502472799206,0.0016611295681063123
64,445457,9655,128,283,307,2450,704,1,2438.7,0.2873469387755102,0.0014204545454545455
50,227146,6748,233,172,308,1390,156,1,1832.9000000000003,0.11223021582733812,0.00641025641025641
21,483883,21012,1033,463,909,5244,1801,1,5770.200000000001,0.343440122044241,0.000555247084952804
11,152977,7199,339,104,251,1342,311,1,1882.9,0.23174366616989567,0.003215434083601286
22,476027,18686,277,260,1036,4282,795,1,4886.5,0.18566090611863614,0.0012578616352201257
39,343416,13968,443,317,402,4130,1340,1,3558.6000000000004,0.324455205811138,0.0007462686567164179
23,150643,3661,83,91,112,761,242,1,927.0000000000001,0.3180026281208936,0.004132231404958678
85,124246,3398,165,67,88,572,128,1,879.4,0.22377622377622378,0.0078125
97,261695,18045,256,235,428,3887,1411,1,4243.9,0.3630048880885001,0.0007087172218284905
8,46321,2994,127,74,165,465,73,1,846.1,0.15698924731182795,0.0136986301369863
98,246130,11044,438,290,492,2623,557,1,3024.4,0.2123522683949676,0.0017953321364452424
36,445917,39171,1707,1044,800,9789,3206,1,10058.5,0.3275104709367658,0.00031191515907673113
16,367226,32079,924,642,801,5680,1664,1,7968.0,0.29295774647887324,0.0006009615384615385
99,28705,1473,39,35,29,329,67,0,361.8,0.20364741641337386,0.0
20,457880,30703,897,701,693,6631,1780,1,7634.2,0.26843613331322574,0.0005617977528089888
24,332841,22616,770,236,743,5140,743,1,5667.799999999999,0.1445525291828794,0.0013458950201884253
76,464293,45759,841,1212,1867,7993,1092,1,11914.300000000001,0.1366195420993369,0.0009157509157509158
97,432153,21483,268,559,1088,5300,1006,1,5692.300000000001,0.189811320754717,0.0009940357852882703
70,301195,17979,307,426,1072,4484,1443,0,4905.1,0.3218108831400535,0.0
69,125312,8175,402,108,392,1775,489,1,2225.2,0.27549295774647886,0.002044989775051125
51,28284,692,30,10,24,133,32,0,179.60000000000002,0.24060150375939848,0.0
64,257164,19668,693,216,1104,5543,1851,1,5314.5,0.3339346924048349,0.0005402485143165856
41,411709,15652,238,281,890,3042,316,1,4158.1,0.10387902695595003,0.0031645569620253164
30,145629,5961,118,167,178,920,301,1,1510.5000000000002,0.32717391304347826,0.0033222591362126247
77,316877,7994,235,85,179,2248,318,1,1919.0000000000002,0.14145907473309607,0.0031446540880503146
33,35682,1705,78,17,79,499,133,1,455.09999999999997,0.2665330661322645,0.007518796992481203
42,475681,25450,519,626,1507,3850,1140,1,6993.3,0.2961038961038961,0.0008771929824561404
88,31928,1823,89,40,61,223,32,0,485.90000000000003,0.14349775784753363,0.0
71,169437,10996,340,135,598,2689,323,1,2942.1000000000004,0.12011900334696914,0.0030959752321981426
17,465385,12350,349,243,328,3570,1267,1,3077.0,0.35490196078431374,0.0007892659826361484
98,213015,11277,406,235,253,2283,780,1,2825.3,0.3416557161629435,0.001282051282051282
64,195706,16224,292,246,431,2693,880,1,3907.8,0.3267731154845897,0.0011363636363636363
85,363478,32846,1472,485,1249,9755,3234,1,8643.900000000001,0.3315222962583291,0.00030921459492888067
25,158335,9043,419,187,360,1095,325,1,2437.0,0.2968036529680365,0.003076923076923077
50,108850,8931,433,125,365,1405,474,1,2382.2,0.3373665480427046,0.002109704641350211
85,405455,33990,878,961,1404,4472,1380,1,9032.9,0.3085867620751342,0.0007246376811594203
7,304855,27002,1248,419,1602,3460,555,1,7599.300000000001,0.16040462427745664,0.0018018018018018018
32,284215,9142,252,203,213,2527,861,1,2266.9,0.3407202216066482,0.0011614401858304297
16,59400,3173,156,74,144,422,153,0,879.6,0.36255924170616116,0.0
27,406220,26315,818,641,1463,3049,973,1,7291.1,0.31912102328632336,0.0010277492291880781
93,447632,38283,1210,926,1247,7435,2576,1,9907.400000000001,0.3464694014794889,0.00038819875776397513
85,217695,12960,558,216,349,3141,1092,1,3301.3999999999996,0.34765998089780326,0.0009157509157509158
85,326186,10228,244,194,510,2354,673,1,2711.4000000000005,0.2858963466440102,0.0014858841010401188
69,191987,11078,544,251,277,2605,514,1,2884.8999999999996,0.19731285988483685,0.0019455252918287938
28,128950,4383,193,63,234,683,200,0,1204.4,0.29282576866764276,0.0
25,330422,14678,271,156,472,3385,1291,1,3557.9,0.38138847858197933,0.000774593338497289
39,103696,8614,315,130,484,2016,540,1,2358.5,0.26785714285714285,0.001851851851851852
46,138669,5288,133,66,193,1377,335,1,1324.7000000000003,0.24328249818445896,0.0029850746268656717
40,159455,3535,171,44,170,1041,362,1,959.3,0.34774255523535064,0.0027624309392265192
28,272219,26825,934,568,1210,5540,1609,1,7197.6,0.2904332129963899,0.0006215040397762585
38,39228,2481,34,36,50,480,91,0,578.4000000000001,0.18958333333333333,0.0
99,147312,6480,257,71,363,1752,526,1,1764.6000000000001,0.3002283105022831,0.0019011406844106464
41,68095,2371,31,35,122,253,69,1,611.8000000000001,0.2727272727272727,0.014492753623188406
50,465244,28712,360,764,1262,3531,452,0,7466.800000000001,0.12800906258850184,0.0
68,96170,8303,374,177,337,1545,301,1,2241.1000000000004,0.1948220064724919,0.0033222591362126247
47,316822,21592,986,407,956,4885,1355,1,5861.1,0.2773797338792221,0.0007380073800738007
4,154302,9410,133,166,371,2168,835,1,2361.5,0.38514760147601473,0.0011976047904191617
55,329968,19963,705,227,602,3441,831,1,4985.6,0.24149956408020923,0.0012033694344163659
8,379226,15982,780,265,627,2225,630,1,4273.5,0.28314606741573034,0.0015873015873015873
56,207416,12719,129,129,365,1365,180,1,2990.6000000000004,0.13186813186813187,0.005555555555555556
85,270972,17820,543,282,1020,3196,403,1,4848.9,0.1260951188986233,0.0024813895781637717
88,457372,21779,659,598,865,5236,2083,1,5795.900000000001,0.3978227654698243,0.00048007681228996637
46,188852,9738,261,177,548,2364,667,1,2640.4000000000005,0.28214890016920474,0.0014992503748125937
45,200161,19296,826,193,877,2126,376,1,5108.9000000000015,0.17685794920037629,0.0026595744680851063
47,72411,5425,79,95,207,942,128,0,1356.6,0.13588110403397027,0.0
84,231416,5942,78,101,342,1388,421,1,1571.7000000000003,0.30331412103746397,0.0023752969121140144
75,260948,5430,192,153,241,1491,472,1,1481.8999999999999,0.3165660630449363,0.00211864406779661
2,367076,9292,291,119,190,1713,322,1,2239.2000000000003,0.18797431406888498,0.003105590062111801
45,334678,7864,117,166,265,1933,571,1,1959.5000000000002,0.29539575788929123,0.0017513134851138354
54,153586,8354,308,129,269,2153,503,1,2130.3,0.23362749651648862,0.0019880715705765406
67,220234,19513,910,363,639,4223,892,1,5122.900000000001,0.21122424816481175,0.0011210762331838565
33,244511,12216,203,227,313,3396,691,1,2954.0000000000005,0.20347467608951708,0.001447178002894356
29,122961,8812,312,148,201,1603,309,1,2182.8,0.19276356830941985,0.003236245954692557
69,346383,17030,318,506,649,4047,575,1,4438.4,0.1420805534964171,0.0017391304347826088
88,365890,22887,353,274,648,6525,1463,1,5464.1,0.22421455938697318,0.000683526999316473
6,477890,15180,448,191,810,2642,561,1,4041.7,0.21233913701741106,0.0017825311942959
6,166475,16579,527,195,734,2160,236,0,4303.0,0.10925925925925926,0.0
22,115659,11381,331,234,304,1700,597,1,2848.7000000000003,0.3511764705882353,0.0016750418760469012
98,252199,19348,330,389,911,2844,993,1,5035.700000000001,0.3491561181434599,0.0010070493454179255
1,104931,6992,349,90,368,989,331,1,1930.3000000000002,0.3346814964610718,0.0030211480362537764
82,498671,22971,957,441,1130,2976,1058,1,6285.4,0.35551075268817206,0.000945179584120983
19,211846,20574,954,502,850,5637,784,1,5623.2,0.13908107149192833,0.0012755102040816326
92,12684,1059,22,29,61,137,32,1,291.90000000000003,0.23357664233576642,0.03125
52,100071,5939,131,117,242,1262,293,1,1528.8000000000002,0.23217115689381934,0.0034129692832764505
64,73344,3592,140,100,137,677,189,1,968.0000000000001,0.2791728212703102,0.005291005291005291
7,496884,28878,1439,323,581,6585,1248,1,7186.000000000001,0.18952164009111616,0.0008012820512820513
