influencer_id,followers,likes,comments,shares,saves,profile_visits,link_clicks,purchase
92,270853,6637,97,81,305,1653,454,0
63,235907,10110,452,146,591,1035,404,1
21,287703,17899,889,205,754,5259,1351,1
14,264214,14891,522,322,834,1624,299,0
72,488685,27587,960,428,759,5317,1095,1
92,132016,5385,151,57,167,981,275,1
13,170421,4447,211,81,192,1262,157,1
5,6015,301,12,8,7,65,13,0
27,484920,42220,1213,772,1306,4698,1688,1
95,145932,14553,468,369,841,3928,684,1
1,312250,13107,239,361,659,1433,258,1
34,66877,5469,168,147,230,1160,421,1
47,20254,1628,56,39,46,207,21,0
98,209625,10770,296,302,365,2184,731,1
51,48088,4614,73,131,183,699,166,1
53,10569,489,17,7,11,61,8,0
16,29071,1000,37,18,54,203,79,0
51,422170,36198,861,613,770,7592,1976,1
46,56745,1719,39,28,40,337,103,0
63,385975,9605,202,250,479,1314,213,1
86,144789,10057,248,193,501,1079,189,0
23,351861,28138,315,769,961,5048,663,1
28,226897,14774,644,174,611,2166,439,1
10,472010,33940,990,735,1679,7179,1981,1
42,367920,17290,795,382,514,3451,687,0
53,425501,16180,398,319,874,1902,650,1
9,149118,3598,38,86,215,1005,274,0
79,243213,23836,706,582,1259,5808,1513,1
45,364723,13278,646,321,371,3282,849,1
14,246983,6664,201,190,218,1457,307,1
5,92958,5941,107,140,139,759,76,0
15,84767,5805,242,70,313,1446,321,0
75,469008,17071,429,487,834,1871,625,1
14,428739,14188,235,373,661,2903,602,1
89,310447,17433,672,488,783,3625,839,1
17,170088,8728,272,98,254,1820,417,1
51,291663,22019,367,607,876,5467,1486,0
57,333800,25555,1051,328,720,6205,1540,1
38,453396,13080,573,164,469,3393,491,1
76,139828,10851,386,259,452,1631,332,1
74,81325,3105,83,48,138,876,124,0
97,193014,15072,508,181,855,3888,415,1
92,201382,13802,372,341,791,3935,925,1
21,499937,43550,652,1237,2386,8874,2461,1
73,473276,22156,933,223,738,3979,1039,0
2,13070,624,24,11,18,118,16,0
71,469051,25100,1169,432,1084,5683,590,1
71,337624,32710,521,598,765,9792,2454,1
13,440165,35211,647,984,993,4863,539,1
40,225178,5687,233,108,233,1070,235,1
63,332299,11482,510,332,401,1769,518,1
87,218046,7084,273,164,149,1022,173,1
72,454589,21430,702,594,905,5232,1787,0
32,458751,38786,1881,1120,994,7031,1386,1
74,259726,20485,899,255,1127,4682,1456,0
69,92955,4356,187,75,93,1159,235,0
9,397417,35324,663,1041,1808,4339,1170,0
87,222215,7681,225,155,381,1841,406,1
22,397426,21356,326,598,1017,5053,1752,1
42,436459,26120,331,472,1042,6374,841,1
27,86182,7748,262,170,361,1046,391,1
92,165445,10177,120,135,503,1186,333,1
21,189074,8148,197,198,259,1737,421,1
22,125900,7390,153,153,195,1982,701,0
98,183376,14976,213,172,735,2981,913,1
39,29354,2510,105,59,77,547,113,0
49,433988,36108,1358,737,847,10530,3448,1
81,399966,31168,1106,922,1749,7147,2200,1
26,426151,32577,1531,443,1391,9222,1016,1
9,409338,38457,1878,1110,1498,10476,3701,1
17,94613,6405,122,79,147,1532,309,0
39,455062,38369,1210,891,1899,7828,1785,1
66,472254,26897,1334,269,737,4755,1805,1
46,21371,517,7,5,20,111,20,0
30,186144,8731,269,215,175,1689,319,0
18,379717,25489,537,718,555,3106,675,1
59,48001,4024,81,87,238,1114,312,0
98,184352,14650,184,264,783,2140,747,1
98,251584,9469,165,242,321,1056,412,1
99,460699,45882,777,822,2309,10975,1604,1
13,274431,21907,249,611,1191,4194,911,1
29,332304,7825,344,83,259,2240,718,1
79,336813,13735,534,273,319,1978,603,1
81,130991,11872,363,333,508,2759,725,1
33,391309,24144,1079,359,634,3188,638,1
53,378929,10786,409,148,596,3152,755,1
42,373009,31927,611,899,639,6744,2205,1
66,223335,5969,137,126,147,1046,107,1
70,81242,6571,207,192,221,1488,564,1
68,208667,15656,199,250,756,1776,487,1
90,475135,11241,504,331,660,2809,390,1
7,324516,7064,162,139,358,1671,390,1
29,390539,21126,592,280,1094,5043,838,1
78,319451,23115,483,670,601,4310,1651,1
59,189403,9812,205,291,356,2735,462,1
64,352120,25399,628,693,988,7458,1160,1
53,406927,33235,1455,838,1497,4195,460,0
3,151323,12669,370,156,316,3003,687,1
60,134749,8968,186,232,290,1713,177,0
64,165081,9639,327,152,460,2622,875,1
86,74298,2109,41,62,54,421,120,0
74,210735,4379,100,89,102,744,81,0
22,319470,9781,319,232,508,1369,205,1
75,324804,24853,279,713,548,5175,1618,1
50,264931,22290,525,586,517,6218,1643,1
26,300806,21503,667,529,500,2409,419,1
45,88186,3310,162,55,90,853,253,1
82,473933,36746,703,1099,2167,8453,1351,1
93,283453,6364,129,122,348,1561,503,1
4,293107,23864,720,497,967,5193,565,1
66,294102,27073,727,420,1182,7647,1247,1
40,265116,20851,318,507,1175,2834,485,0
37,69324,1769,48,21,64,386,105,0
70,106520,5463,266,82,252,901,299,1
45,388894,21895,425,251,586,4465,897,1
1,404492,16138,559,389,430,2154,239,0
76,97324,8033,306,152,438,1700,445,1
78,348681,10403,200,114,474,1507,232,1
33,145272,9700,364,174,380,2300,241,1
29,151470,8539,261,168,398,1092,119,0
80,6969,251,9,7,5,58,13,0
86,251958,19000,826,548,899,3789,1081,1
76,317282,29975,1126,705,858,6947,1515,1
90,275269,19992,999,219,1181,3626,1309,1
77,483366,38222,1725,691,1264,8925,3055,1
23,161498,14456,361,230,664,2395,692,1
15,145180,7321,233,160,306,1382,144,1
72,458449,37018,1111,771,2149,9973,3732,1
25,299923,9573,297,142,373,1712,453,1
43,194420,16679,454,465,381,4852,1438,1
68,476828,27815,494,370,1243,5691,1713,0
28,429226,28532,387,694,1027,8426,2923,1
7,381158,33829,1420,463,1076,8750,1361,0
84,112971,3046,129,53,125,373,37,0
21,224861,15174,633,347,409,2612,971,1
49,237601,9611,212,236,519,2251,771,1
74,466792,25167,405,370,1378,4896,1275,1
37,21014,807,14,18,24,182,21,0
64,379562,25720,952,484,973,6298,659,1
46,459162,31341,736,881,1595,4794,1407,1
73,36367,1794,42,40,67,477,143,0
32,412700,17206,580,406,502,3292,517,1
44,417417,20468,1019,387,682,4423,560,0
93,277670,22321,375,406,823,5900,592,1
8,175963,10204,258,126,601,1061,340,1
65,496128,36576,501,553,1884,9982,2820,1
98,123413,3629,69,61,127,614,105,0
67,43067,1825,87,50,48,469,127,0
12,233590,12093,382,272,568,2497,790,1
7,493371,42182,966,441,1103,6104,2363,1
10,403872,26660,777,433,1179,3408,1259,1
52,16138,1552,66,36,38,303,76,0
45,396099,32534,484,712,1869,8954,1641,1
32,416484,8919,304,154,316,1898,299,1
11,448057,11032,417,327,326,1417,193,1
7,102359,7710,267,174,224,1129,187,0
36,279555,24556,957,634,888,5667,1168,1
86,104853,3580,91,104,107,453,102,1
21,159249,11860,208,265,390,3164,913,1
45,136743,8071,116,169,308,2170,280,1
68,161193,7410,292,144,259,1325,315,0
13,384504,37076,1537,604,1762,6952,1226,1
58,33671,3102,88,70,143,865,251,0
60,254686,15656,250,387,633,3695,415,1
43,434440,11194,143,114,652,2770,570,1
11,206139,16897,615,231,455,2022,602,1
64,445457,9655,128,283,307,2450,704,1
50,227146,6748,233,172,308,1390,156,1
21,483883,21012,1033,463,909,5244,1801,1
11,152977,7199,339,104,251,1342,311,1
22,476027,18686,277,260,1036,4282,795,1
39,343416,13968,443,317,402,4130,1340,1
23,150643,3661,83,91,112,761,242,1
85,124246,3398,165,67,88,572,128,1
97,261695,18045,256,235,428,3887,1411,1
8,46321,2994,127,74,165,465,73,1
98,246130,11044,438,290,492,2623,557,1
36,445917,39171,1707,1044,800,9789,3206,1
16,367226,32079,924,642,801,5680,1664,1
99,28705,1473,39,35,29,329,67,0
20,457880,30703,897,701,693,6631,1780,1
24,332841,22616,770,236,743,5140,743,1
76,464293,45759,841,1212,1867,7993,1092,1
97,432153,21483,268,559,1088,5300,1006,1
70,301195,17979,307,426,1072,4484,1443,0
69,125312,8175,402,108,392,1775,489,1
51,28284,692,30,10,24,133,32,0
64,257164,19668,693,216,1104,5543,1851,1
41,411709,15652,238,281,890,3042,316,1
30,145629,5961,118,167,178,920,301,1
77,316877,7994,235,85,179,2248,318,1
33,35682,1705,78,17,79,499,133,1
42,475681,25450,519,626,1507,3850,1140,1
88,31928,1823,89,40,61,223,32,0
71,169437,10996,340,135,598,2689,323,1
17,465385,12350,349,243,328,3570,1267,1
98,213015,11277,406,235,253,2283,780,1
64,195706,16224,292,246,431,2693,880,1
85,363478,32846,1472,485,1249,9755,3234,1
25,158335,9043,419,187,360,1095,325,1
50,108850,8931,433,125,365,1405,474,1
85,405455,33990,878,961,1404,4472,1380,1
7,304855,27002,1248,419,1602,3460,555,1
32,284215,9142,252,203,213,2527,861,1
16,59400,3173,156,74,144,422,153,0
27,406220,26315,818,641,1463,3049,973,1
93,447632,38283,1210,926,1247,7435,2576,1
85,217695,12960,558,216,349,3141,1092,1
85,326186,10228,244,194,510,2354,673,1
69,191987,11078,544,251,277,2605,514,1
28,128950,4383,193,63,234,683,200,0
25,330422,14678,271,156,472,3385,1291,1
39,103696,8614,315,130,484,2016,540,1
46,138669,5288,133,66,193,1377,335,1
40,159455,3535,171,44,170,1041,362,1
28,272219,26825,934,568,1210,5540,1609,1
38,39228,2481,34,36,50,480,91,0
99,147312,6480,257,71,363,1752,526,1
41,68095,2371,31,35,122,253,69,1
50,465244,28712,360,764,1262,3531,452,0
68,96170,8303,374,177,337,1545,301,1
47,316822,21592,986,407,956,4885,1355,1
4,154302,9410,133,166,371,2168,835,1
55,329968,19963,705,227,602,3441,831,1
8,379226,15982,780,265,627,2225,630,1
56,207416,12719,129,129,365,1365,180,1
85,270972,17820,543,282,1020,3196,403,1
88,457372,21779,659,598,865,5236,2083,1
46,188852,9738,261,177,548,2364,667,1
45,200161,19296,826,193,877,2126,376,1
47,72411,5425,79,95,207,942,128,0
84,231416,5942,78,101,342,1388,421,1
75,260948,5430,192,153,241,1491,472,1
2,367076,9292,291,119,190,1713,322,1
45,334678,7864,117,166,265,1933,571,1
54,153586,8354,308,129,269,2153,503,1
67,220234,19513,910,363,639,4223,892,1
33,244511,12216,203,227,313,3396,691,1
29,122961,8812,312,148,201,1603,309,1
69,346383,17030,318,506,649,4047,575,1
88,365890,22887,353,274,648,6525,1463,1
6,477890,15180,448,191,810,2642,561,1
6,166475,16579,527,195,734,2160,236,0
22,115659,11381,331,234,304,1700,597,1
98,252199,19348,330,389,911,2844,993,1
1,104931,6992,349,90,368,989,331,1
82,498671,22971,957,441,1130,2976,1058,1
19,211846,20574,954,502,850,5637,784,1
92,12684,1059,22,29,61,137,32,1
52,100071,5939,131,117,242,1262,293,1
64,73344,3592,140,100,137,677,189,1
7,496884,28878,1439,323,581,6585,1248,1
63,185005,7489,84,220,215,1848,607,0
86,222770,19996,621,452,915,5278,1055,1
30,222144,18542,920,259,1108,2187,220,1
36,168864,11927,152,120,685,3153,1080,1
35,343113,9728,252,237,303,2310,247,1
72,160394,11318,374,271,229,1360,490,1
17,64766,5658,111,110,146,1369,410,1
34,266570,22466,1059,406,1263,3691,896,1
30,431420,9790,181,179,493,1346,425,1
74,216977,18598,598,422,763,3582,610,1
79,51101,3324,49,94,162,599,88,1
98,184838,4500,179,73,90,910,103,0
38,420952,10530,458,106,314,2613,509,1
65,207346,8632,377,140,445,2402,552,0
56,387923,28710,420,311,1222,8212,2901,1
47,361374,14577,656,199,453,1835,555,0
73,83356,4837,171,145,117,966,208,1
99,254134,7338,259,186,147,1994,310,1
31,216841,8014,290,155,442,1147,347,1
34,353040,10918,393,270,356,2499,546,1
54,321480,29324,630,508,654,3586,913,1
53,246225,5213,131,87,108,650,145,0
17,262803,17768,184,342,1040,3621,1098,1
28,179863,14718,454,434,368,1521,503,1
34,428332,17667,189,280,899,3596,735,1
16,431703,18988,680,559,1023,1988,734,1
89,33151,1877,48,30,42,273,47,0
79,108547,6285,77,183,362,1615,641,1
15,66215,1724,42,25,47,220,63,0
45,495834,15746,668,357,559,3697,657,1
52,262125,11334,326,315,547,1274,183,1
52,118000,6586,101,192,271,977,244,0
69,258317,10843,458,208,453,2022,228,1
93,48527,1782,21,47,105,460,163,0
70,33328,1191,57,35,57,352,95,0
89,330905,22331,288,501,1323,3082,1041,0
98,301208,29160,899,861,1466,3858,937,1
94,487112,27599,1138,805,1394,7480,2101,1
36,416236,20877,669,544,456,5461,837,1
48,272866,10998,218,198,613,1100,407,1
27,60841,6051,71,152,210,1080,352,0
91,156385,7595,315,114,323,1304,387,1
58,160801,15028,211,302,433,1619,179,1
98,462719,19711,946,426,738,4257,1085,1
19,71668,3457,158,100,192,635,212,1
15,315001,11457,385,157,381,3104,503,1
68,330497,31484,953,572,1650,8411,1679,1
24,277919,20113,323,553,835,3147,716,1
53,193221,12088,406,135,416,2957,473,1
85,475332,26142,1184,288,722,4235,1353,1
41,162636,13128,451,366,692,1976,358,1
47,232189,12180,229,307,507,1582,338,1
42,401489,8693,180,176,267,1961,479,1
48,224571,15848,240,336,811,3830,580,0
88,389193,29491,1137,567,1676,7045,2245,1
81,418089,35355,629,597,1181,10454,3731,1
76,154359,10028,480,199,353,1329,446,1
18,308472,6791,295,69,326,1996,461,1
59,483108,41243,1313,1210,910,8288,2615,1
13,381047,32008,1027,573,808,8740,1286,1
23,96649,8670,319,224,260,1950,529,1
83,278586,5842,215,64,245,920,176,0
17,253709,11854,465,214,269,3043,565,1
19,222813,10382,127,181,599,2370,714,1
14,486494,26011,1041,312,809,4038,927,0
90,190917,11740,201,345,288,2121,681,1
41,412472,19683,509,300,555,3869,698,1
74,355373,34642,1182,399,797,10056,1902,1
19,493019,13492,433,308,649,2356,633,1
96,99767,6652,206,99,133,896,121,0
53,151510,5612,266,56,285,1262,267,1
65,65272,3319,157,69,191,478,151,1
32,422567,15708,574,313,780,2598,953,1
25,267043,23741,1013,480,891,7104,1198,1
41,343089,26098,473,602,1376,2870,1071,1
97,224128,4766,62,134,162,881,145,0
16,410841,20450,476,566,722,4063,751,1
3,367441,22446,451,667,710,5704,1301,1
89,480430,19941,493,556,930,5134,1213,1
60,112237,6084,168,139,349,686,238,1
11,393793,8566,188,171,190,1697,641,1
55,302986,15989,578,243,421,2112,255,1
21,316537,28657,1219,679,699,4523,872,1
56,157297,9885,239,168,525,2548,490,0
96,446732,20611,498,414,1188,5673,741,1
35,61358,2178,96,51,116,591,191,0
86,195920,6431,237,87,307,938,126,0
85,484681,30317,1260,483,1262,5124,1149,1
78,157185,7598,107,109,309,1683,292,1
19,445437,16732,809,373,707,3064,700,1
74,239473,8078,242,147,442,1827,474,1
49,427132,12547,294,161,598,1772,385,1
7,166081,10068,269,104,520,1145,277,1
32,183969,7406,77,181,306,1979,685,1
51,470525,39206,1099,535,2124,10840,2600,1
30,302016,25454,1172,358,577,7011,1520,1
36,123094,3117,112,35,109,812,186,1
93,425162,15989,384,279,363,2780,665,1
95,114162,10770,271,286,578,1880,544,1
79,321463,8138,330,176,417,2037,694,1
81,442602,32616,1135,810,873,4533,1664,1
17,229655,18532,627,427,1029,3998,1158,1
42,237892,18391,383,258,598,2727,448,1
76,439825,26637,466,307,1274,4703,1629,1
96,248056,10357,390,158,596,2353,464,1
28,443164,33490,627,733,1024,7782,2680,1
23,130814,4580,61,109,159,854,93,0
70,347908,31428,620,664,677,7334,1444,1
59,180607,8312,382,248,440,2235,390,1
38,302647,26067,1202,747,1356,6121,622,1
95,295446,13094,297,382,728,3533,783,1
48,273788,10557,111,266,474,2665,297,0
58,180458,17156,456,309,611,1953,569,1
66,38340,1960,37,42,111,560,113,0
59,206604,20588,1013,473,1074,5003,1390,1
11,298052,22050,818,385,1271,2943,736,1
89,345968,8851,284,220,463,1617,260,1
47,134744,11721,196,121,599,2601,806,1
20,454757,42209,1501,1227,2332,9155,3205,1
54,266657,21131,291,462,1016,2394,405,0
84,493051,19575,736,429,784,5779,1762,1
87,93151,8455,126,118,242,2014,565,1
79,425446,34917,527,591,1306,6256,1881,1
29,92954,5963,247,109,159,1162,135,1
32,50619,2787,86,82,74,342,35,0
11,357365,25175,472,262,1335,4358,898,1
36,252908,8500,390,217,196,2527,458,1
31,225534,17261,598,226,675,4420,844,1
44,352247,11955,538,225,709,2141,673,1
98,251536,8868,211,185,529,2064,329,1
39,242068,24002,1094,418,667,4749,1531,1
44,122797,10690,261,290,387,1770,418,1
62,433519,15482,744,209,661,3341,824,1
4,93059,5975,148,138,153,1279,198,0
28,186890,6471,278,101,369,1902,516,1
78,489895,41062,1014,482,1735,11046,3742,1
89,395270,14878,278,408,446,2271,227,0
49,46235,2317,44,35,97,324,60,0
91,91124,8709,299,248,447,1898,193,0
61,319639,22125,894,448,1065,6350,1350,1
82,237204,17541,710,191,804,2549,767,1
95,476604,11447,130,240,429,3065,454,1
98,205399,8010,95,196,195,1775,327,1
65,232434,19551,502,489,489,4976,851,1
85,455983,43013,1096,487,893,11414,2938,1
99,18682,889,9,25,41,254,45,0
19,216127,9813,431,284,543,2431,445,1
58,231572,4821,186,116,216,1436,277,1
56,215938,18994,257,566,790,5640,2152,1
38,180595,5994,117,145,185,1008,236,0
67,333953,6813,84,191,312,1053,161,0
67,392001,37366,1545,719,2040,5600,1764,1
50,241371,19453,424,310,472,3657,1166,0
21,116576,10381,445,139,409,1280,389,0
52,30901,2180,72,38,74,237,39,0
91,161177,4588,206,93,220,835,223,0
72,60798,2451,100,29,56,422,53,0
69,415184,38054,1573,913,1700,10377,1732,1
77,448258,35794,1161,534,1322,9260,1014,1
56,463222,14612,213,154,598,2099,832,1
63,184689,9001,386,237,351,1531,319,1
17,260989,9584,128,185,376,2570,427,1
61,247318,21242,539,407,682,6086,825,0
49,464158,29021,328,566,1053,3837,1139,0
17,10368,800,10,14,19,178,67,0
81,187690,9079,290,164,484,2387,676,1
50,174024,9663,386,199,401,1503,248,1
40,324674,7250,335,95,208,1476,462,1
8,468639,45689,936,742,2442,5027,1203,1
57,241495,12619,505,260,594,2343,748,1
45,417310,36153,1142,972,1346,6355,2380,1
18,492182,28901,883,467,1240,4769,533,1
11,337586,33174,1613,593,1629,5611,1690,1
22,350280,18220,753,279,1086,1915,538,1
97,330137,9782,465,133,439,1413,271,1
30,199840,6558,110,120,329,1833,229,1
41,104352,7611,259,100,223,797,279,0
81,133447,5657,119,60,322,807,182,1
99,382844,30050,1438,770,978,4494,1390,1
4,200558,4111,51,85,175,1028,143,0
63,159599,4381,115,58,126,716,127,0
90,108119,3833,46,86,120,597,119,0
52,450563,36372,1422,716,1736,7658,1262,1
37,129954,12068,384,297,408,2190,301,1
54,25323,1691,39,44,50,499,101,0
36,181968,6987,184,103,327,1853,559,1
82,33164,1078,42,18,50,166,20,1
95,80910,2377,39,40,119,478,139,1
32,27337,1496,41,33,69,299,87,0
31,8178,346,5,4,15,70,12,0
75,88291,3143,113,80,162,693,175,0
75,114863,3154,153,40,82,876,335,0
2,184515,3710,93,47,76,715,273,1
42,449718,11150,169,246,601,1215,389,1
90,115168,10861,252,209,223,1263,224,1
60,484809,26233,837,353,835,6106,2378,1
12,425452,28143,916,563,640,3320,930,1
58,419027,13431,591,400,659,3451,1374,1
96,398120,34637,1197,748,1044,8703,1083,0
21,196591,5941,164,64,281,1666,585,1
46,240295,20443,960,392,816,3345,1231,1
78,239318,21848,230,359,921,2832,361,1
13,486530,41787,1920,880,2193,7388,2215,0
91,283104,14492,423,184,336,3854,1514,1
54,363105,9173,418,176,300,1791,350,1
84,274637,18506,699,320,916,4317,586,1
20,237520,20029,541,598,474,5128,1549,1
92,179131,10633,445,155,308,2235,574,1
23,496818,20979,857,483,1118,6190,1499,1
11,343585,14998,709,306,463,2697,754,1
92,469448,46082,1464,585,2568,5296,1971,0
12,340513,27798,653,801,1144,6851,2584,0
54,234304,22803,800,652,1072,3681,776,1
45,374430,17013,564,287,895,3289,404,1
35,95909,5749,81,70,331,1578,371,0
47,413756,22906,822,257,1203,6599,1944,0
41,427217,24861,847,537,896,4167,575,1
34,6539,514,9,5,21,112,40,0
24,148314,6472,201,152,282,839,127,1
99,341430,30590,760,681,1252,5011,1207,1
30,471589,21316,887,603,733,3440,545,1
58,342753,33478,572,818,723,6062,1545,1
30,45696,4185,66,107,187,704,254,1
29,268328,17535,421,389,367,2161,298,1
82,162419,13021,601,347,362,2450,391,1
98,437732,11139,208,319,430,2106,219,1
95,426773,14156,376,145,553,1475,510,1
69,92593,3950,171,82,138,889,92,0
10,105699,4178,141,73,226,1213,442,1
84,304182,18389,229,210,789,3920,1424,1
77,70524,1685,23,18,46,350,102,0
80,14837,835,23,23,49,216,70,0
36,466688,11540,434,283,252,3295,419,1
59,164163,5514,67,91,279,1007,297,1
68,349877,34666,404,1017,1455,10144,1363,1
69,184736,4448,154,62,193,544,108,1
77,362489,25453,913,684,839,6044,2348,1
88,179312,12633,500,281,261,1755,602,1
60,489026,24338,751,276,663,7093,2603,1
40,24023,1779,61,38,39,403,133,1
72,199795,15666,514,292,393,2848,587,1
87,167730,12757,428,367,433,1897,562,1
91,419508,15927,203,422,480,3099,350,1
91,34320,2731,72,38,110,344,79,0
92,246040,18581,321,304,680,5232,903,1
75,481813,13670,207,293,306,1451,456,1
88,68212,2748,98,42,109,341,94,0
93,445210,37696,1299,599,1139,6238,931,1
55,387353,17242,555,375,638,3846,478,1
10,52645,4063,134,41,139,897,193,1
9,338977,32074,346,419,1778,6148,1656,1
2,172516,16309,813,397,513,4500,516,1
9,247653,10028,188,127,545,2005,606,1
73,37966,1708,45,24,100,391,148,0
51,253004,20561,774,602,734,2593,781,1
92,137201,10713,264,138,302,1742,506,1
60,399109,14324,592,403,498,3584,1322,1
49,10586,1021,25,17,22,201,26,0
92,496087,42021,1891,674,2283,11406,3757,1
24,415513,39723,1481,660,1589,9102,2304,1
98,374947,31567,1403,402,1833,5232,1562,1
72,158778,15188,341,412,383,3660,1180,1
68,442282,39736,665,439,1935,7752,2749,1
41,75474,5595,198,100,241,904,219,0
48,412775,39048,1849,704,1513,9415,3546,1
24,377339,10945,287,303,239,3199,971,1
8,58634,4126,183,52,243,893,355,0
13,309128,7571,153,155,203,1010,241,1
64,294532,15689,196,281,611,2984,1076,1
84,318940,16858,719,470,912,3956,558,1
2,167947,10249,234,224,613,1917,721,1
37,84335,4916,218,59,207,995,183,1
29,14637,1150,51,28,33,277,53,0
27,301618,23985,921,352,1198,6801,900,1
88,79807,5584,73,106,276,1325,456,1
18,300830,22179,249,459,477,5802,1138,1
70,304477,25149,1143,451,1371,3858,1004,1
47,170707,16443,244,170,923,1870,743,0
24,473351,12049,210,254,381,2210,470,1
84,23557,1400,32,16,81,156,29,0
14,294238,9751,402,121,442,1216,147,0
1,362171,32295,476,433,1261,7995,1132,1
54,199215,7367,107,196,295,757,258,0
53,24782,1494,67,43,74,282,78,0
50,29700,1656,71,38,60,385,52,0
83,193305,7276,126,211,206,1107,432,1
36,81396,7181,105,173,288,1908,481,1
80,383189,22321,908,503,1011,4242,1100,1
58,293799,22247,1044,587,944,5212,1969,1
90,140393,10544,338,156,390,3095,920,1
76,374359,28333,694,750,797,5491,1868,1
36,355321,32225,764,763,677,7669,1494,1
48,353586,9534,172,199,269,1990,337,0
96,415488,16471,699,277,402,3526,967,1
85,204316,11339,241,131,624,2786,530,1
17,56272,5133,74,51,205,1111,304,1
77,454614,27247,508,747,639,5380,1653,1
49,126169,10894,191,308,459,1741,399,1
3,436978,36576,1584,1086,1889,8056,1625,1
24,301124,23965,667,249,539,4253,1169,1
6,437015,25531,931,367,625,5598,1373,1
84,387526,11040,345,197,491,2882,547,0
33,20116,1397,52,32,56,259,30,0
87,194518,9082,231,115,449,2464,940,1
40,405705,35882,959,580,2062,7288,1815,1
18,365971,31974,1105,528,884,6749,1857,1
53,158956,13057,573,178,485,1737,541,1
15,194826,6958,128,75,228,1474,526,1
35,291198,22579,1065,464,685,2496,793,1
62,213606,13371,435,294,356,2352,670,0
69,365466,34283,1388,748,948,7999,2295,1
73,231305,14408,336,293,402,3760,585,1
76,408708,29698,816,461,1257,5030,1910,0
7,167696,7752,306,83,302,1296,487,1
17,460730,36514,1073,427,2150,7434,2113,1
88,194216,10552,137,127,564,1561,247,1
52,281393,7022,232,86,150,776,271,1
64,144718,7964,348,121,293,859,201,0
18,130549,6268,217,173,183,1133,450,1
90,352299,21606,462,439,1165,5121,957,1
54,354903,16127,757,179,635,4556,1289,1
13,30938,1468,64,31,59,176,18,1
77,314732,21482,283,508,1230,4621,636,1
60,160976,8453,382,194,473,1899,264,1
7,108463,5660,124,127,148,988,160,1
61,222508,22170,621,333,836,5973,966,0
94,83012,8206,357,214,268,835,179,0
97,162403,9813,256,222,440,1218,478,1
58,7637,213,5,4,6,48,18,1
43,109824,4266,95,76,126,600,231,0
80,111471,5250,137,77,237,1197,425,1
63,100864,4649,187,83,206,878,283,1
76,176635,7770,225,103,265,1398,163,1
42,381565,12263,415,285,450,2945,657,1
2,82360,6204,226,66,215,1835,415,1
88,353848,27381,911,710,1494,5240,1270,1
36,398922,30227,402,823,1185,3438,910,1
95,487347,17700,762,374,392,5210,1322,1
37,304340,21932,758,296,888,5331,2089,1
44,460796,21481,1022,362,1278,4232,650,1
10,477585,36665,1809,403,875,8949,1651,1
85,484280,10531,431,133,407,2329,532,1
50,70184,2032,69,43,105,604,105,0
